actual_summary,generated_summary
harry potter author jk rowling has apologised for a series of tweets in which she falsely accused us president donald trump of refusing to shake the hand of a child in a wheelchair during an event last week rowling was slammed for not removing the tweets from her social media account after her comments were proved to be incorrect,Generated summary confidence: 1.0
substantial presence of pm reportedly the most dangerous particulate matter has been found in areas around delhis lodhi road a study by system of air quality and weather forecasting and research said its presence in the central delhi area may be attributed to the huge flow of vehicles since the particulate matter is a product of vehicular pollution reports said,Generated summary confidence: 1.0
the ghaziabad police has booked people including congress workers for resorting to violence during protests in front of the ala hazrat haj house on monday nearly protesters had pelted stones at the police during the protest demanding that the facility be opened to pilgrims immediately the facility has remained sealed since its inauguration last year,Generated summary confidence: 1.0
republican senator lindsey graham has said that us president donald trump has told him they would rather go to war to destroy north korea than allow it to develop nucleararmed missiles adding that he prefers a diplomatic approach to solve the north korean threat graham claimed there is a military option to destroy north koreas programme and north korea itself,Generated summary confidence: 1.0
comedian sunil pal in a facebook video has accused filmmaker anees bazmee and his friend mayur barot of not paying sunil his fees for a stage show he said he had been invited by them to perform at a family function eight months ago sunil added that he is planning to take legal action against them,Generated summary confidence: 1.0
the administration of union territory daman and diu has issued a circular making it compulsory for all employees to celebrate rakshabandhan by asking women employees to tie rakhis on the wrist of male colleagues it has been decided to celebrate the festival of rakshabandhan on august in this connection all officesdepartments shall remain open the circular read,Generated summary confidence: 1.0
the united states on wednesday announced that the ban prohibiting its citizens from travelling to north korea will take effect from september all united states passports are declared invalid for travel to in or through the dprk unless specially validated for such travel the restriction read the ban will remain in effect for one year,Generated summary confidence: 1.0
finance minister arun jaitley has said that a proper decision would be taken on air indias future and it would be in governments interest to protect jobs at the airline noting that the airline has debt of over crore he said it is not small and now we have to decide what has to be done with air india,Generated summary confidence: 1.0
uk roadside repair firm aa on tuesday lost over million nearly crore or nearly a fifth of its value this came after shares fell as much as during the day after it fired its executive chairman bob mackenzie with immediate effect for gross misconduct however his son said he resigned over an extremely distressing mental health issue,Generated summary confidence: 1.0
according to reports yoga guru ramdev and actress sonakshi sinha will be part of the judging panel on upcoming reality show om shanti om the show will be aired on life ok which is set to rebrand itself as star bharat the judging panel will also include singers shekhar ravjiani and kanika kapoor,Generated summary confidence: 1.0
actor naseeruddin shah while talking about the controversy around lipstick under my burkha said that one needs to ask a psychiatrist why the censor board is afraid of female sexuality on screen he added its very frightening to see that the censor board can do whatever it wants and practise its biases openly and ban films that it doesnt like,Generated summary confidence: 1.0
amitabh bachchan has said that the opportunity of catching up on sleep on a films set for actors is a rare and gifted moment in the script while sharing a picture of him sleeping for a film scene bachchan added my sleep was genuine they actually had to come and wake me up to tell me that it was over,Generated summary confidence: 1.0
a video of a policeman thrashing a vendor outside a passport office in punjabs ludhiana has gone viral the victim who sells file covers at a makeshift stall was beaten by the cop after he reportedly refused to pay bribe after the video went viral ludhiana police commissioner rn dhoke initiated a departmental inquiry against the cop,Generated summary confidence: 1.0
a mumbai court has convicted somali pirates to years of imprisonment in a case the pirates were found guilty of attempt to murder and kidnapping for taking people hostage on board a commercial ship from thailand this is one of the four cases registered against somali pirates for holding people from different countries hostage,Generated summary confidence: 1.0
a teacher of a private school in haridwar district of uttarakhand has been accused of stripping two girls in front of the class for performing poorly in a test held for english subject while the parents of the girls lodged a complaint against the teacher and the school management the allegation has been refuted by the school authorities,Generated summary confidence: 1.0
tmc leader dinesh trivedi has said that successive governments have short changed air india by treating it like their private properties trivedi urged the government to reconsider its decision to privatise it as the government operates bsnl and mtnl in communications and doordarshan and all india radio in broadcasting it should have a national carrier as well he added,Generated summary confidence: 1.0
uk tobacco company british american tobacco bat is being investigated by the serious fraud office sfo over allegations about involvement in bribery and corruption in africa bat has denied allegations of a whistleblower who handed over multiple documents to sfo however bat has said it is cooperating with uk authorities as campaigners are now urging us government to act,Generated summary confidence: 1.0
comedian and television show host kapil sharma has said that he is not suffering from depression while adding its just a big term for me he added that apart from low blood pressure he isnt facing any health issues and is feeling perfectly fine now kapil also clarified he has no stress and pressure regarding the kapil sharma shows trp,Generated summary confidence: 1.0
the release of the shraddha kapoor starrer haseena parkar which was scheduled for august has been postponed director apoorva lakhia said we collectively decided to postpone the film so that it can get enough screens and a worthy run at the boxoffice earlier the films release was shifted to august to reportedly avoid a clash with jagga jasoos,Generated summary confidence: 1.0
actor prateik babbar while speaking about dealing with drug addiction said substance abuse is like a bad marriage even after you quit it haunts you for a while till people start noticing the turnaround he added prateik further said addiction is not a moral failing it doesnt make you a bad person even if you have made a poor choice,Generated summary confidence: 1.0
producer of babumoshai bandookbaaz kiran shroff while talking about sexist comments she faced has said that a central board of film certification cbfc member asked her how she could make a film like this being a woman a male member added but she is not a woman look at what she is wearing kiran said that such thoughts were regressive,Generated summary confidence: 1.0
actress sana khan while speaking about salman khan hugging her on the red carpet at an awards show said she cant believe that a normal hug was trending people just blew it out of proportion because salman had closed fists and some dumb people even called it an awkward hug she added while slamming those who trolled her,Generated summary confidence: 1.0
dia mirza while talking about being trolled on social media said she used to get frightened by the rape and acid attack threats she received online for expressing her opinion dia added elementswho are faceless and namelesswho harass people dont need to be taken seriouslywe need to be like ducks and let trolling be like water sliding off our backs,Generated summary confidence: 1.0
comedian sunil grover has said that there is no need for a mediator to resolve the feud between him and kapil sharma i know kapil very well why do i need someone else to sort things between us he added sunil further said anyway the best part is that the comedy didnt stop and its continuing from both ends,Generated summary confidence: 1.0
authorities have removed the copies of the bible and quran placed near apj abdul kalams memorial in rameswaram in tamil nadu following a complaint kalams relatives had placed the books alongside the sculpted bhagavad gita placed near the statue before its inauguration later a hindu nationalist party filed a complaint saying keeping them without permission is wrong,Generated summary confidence: 1.0
a yearold man was on wednesday assaulted by a mob which allegedly found him in a compromising position with a woman at a governmentrun centre in bokaro jharkhand the victim found unconscious when police rescued him from the mob has suffered multiple injuries on his head neck legs and back the man is reportedly battling for life in a hospital,Generated summary confidence: 1.0
the indira gandhi institute of medical sciences igims in bihars patna has asked its employees to declare their virginity and number of wiveshusbands in a marital declaration form further the form spelt bachelor as bechelor this is not a new form and has been in practice since when igims was established deputy medical superintendent dr manish mandal said,Generated summary confidence: 1.0
brihanmumbai municipal corporation is planning to redevelop eight entry points of mumbais juhu beach in the second phase by augustend authorities said as per the plan each entry point will have five metre high walls and steps with railings among others while residents welcomed the move an activist said that any beautification shouldnt affect the natural feel of the beachn,Generated summary confidence: 1.0
kriti sanon when asked about hate story actress bhairavi goswamis tweet saying kriti is a deranged actress with no headlight and no bumper enquired who bhairavi is she further said im just happy for her she got a lot of publicity now you guys know her name also bhargavi had also commented that even college students look better than kriti,Generated summary confidence: 1.0
actor tom hiddleston will star in a play on william shakespeares hamlet which will be directed by kenneth branagh the production aims to raise money for the royal academy of dramatic art the drama school attended by hiddleston tickets will be available through a lottery and winners will be able to collect them only on the day of the performance,Generated summary confidence: 1.0
egypts highest islamic authority alazhar alsharif has opened a fatwa kiosk at cairo metro to offer commuters religious advice in an effort to counter extremism a sheikh said we usually talk about the issues of daily life and what religion says about such things the topics we mostly discuss are marriage divorce and inheritance,Generated summary confidence: 1.0
pm narendra modi took a wristwatch by british company sekonda and a decorative porcelain from the external affairs ministrys repository this year all gifts received by ministers and officials have to be deposited at the repository called toshakhana however a recipient can take home gifts valued under,Generated summary confidence: 1.0
the brihanmumbai electric supply and transport best is planning to shift its yearold museum from wadala to byculla zoo in mumbai authorities said the museum is far away and people have often complained they dont visit as the travel is a pain said an official the authorities expect that the shift will bring in more visitors and revenues,Generated summary confidence: 1.0
priyanka chopra has shared a picture with singer bryan adams on instagram which she captioned was so good to see you again priyanka and bryan came together to support the organisation hear the world foundation which works for people with hearing disabilities adams is known for songs like summer of and everything i do i do it for you,Generated summary confidence: 1.0
the income tax department recovered crore in cash from karnataka minister dk shivakumars delhi residence after it raided places linked to the incharge of hospitality for gujarat congress mlas in bengaluru meanwhile karnataka chief minister siddaramaiah said in order to meet political conspiracies it department has been used this is not fair in politics,Generated summary confidence: 1.0
actress swara bhasker while addressing pay disparity in bollywood has said that if as an actress she works for as many days as an actor then she should also expect an equal amount of pay swara added if you see in hollywood women are taking up this whole question of equality so why cant bollywood take its cue from them,Generated summary confidence: 1.0
costumes worn by actors judi dench and aii fazal during the shooting of the film victoria abdul will be displayed at queen victorias home the osborne house in the uk they will go on display for public friday onwards most of the scenes from the film were also shot in the same house,Generated summary confidence: 1.0
filmmaker imtiaz ali has revealed that when he first met shah rukh khan a drunk girl was hanging on to him it was in london for a film festivalhe was dealing with her so gracefully without demeaning her he added imtiaz further said gauri srks wife was also with him and everybody was trying to deal with this crazy fan,Generated summary confidence: 1.0
yogi adityanath government has approved making the registration of marriages compulsory for all religions and castes in uttar pradesh the approval comes in wake of a supreme courts verdict which asked centre and state governments to draft rules for making marriage registration compulsory reportedly fine will be levied for delay up to a year and beyond that,Generated summary confidence: 1.0
the national green tribunal ngt on tuesday directed the irrigation departments of delhi and uttar pradesh to remove debris from the yamuna floodplains within three weeks the ngt added that any inaction on part of authorities cannot be tolerated notably the tribunal has reconstituted the principal committee responsible for overseeing the execution of the yamuna cleaning project,Generated summary confidence: 1.0
speaking ahead of his final appearance on the field at the upcoming world championships eighttime olympic gold medallist usain bolt warned his fellow athletes that they must stop doping otherwise track and field will die on being asked about how he would feel in the m final at the upcoming world championships bolt said unbeatable and unstoppable,Generated summary confidence: 1.0
a minor fire broke out in the basement of former delhi chief minister sheila dixits house in delhis nizamuddin on wednesday morning we got a call at around am about a fire we sent two fire tenders to the spot the electricity metre board had caught fire said a fire official no damages have been reported in the incident,Generated summary confidence: 1.0
a woman in keralas kochi area bit off the tongue of a neighbour on monday night when he allegedly tried to rape her the woman filed a police complaint against her yearold neighbour and produced a two centimetre strip of the tongue at the police station the accused allegedly had similar charges against him earlier,Generated summary confidence: 1.0
a yearold haryana girl has been found to be sevenmonths pregnant after two of her cousins allegedly raped her several times the incident came to light after she complained of stomach ache and was taken to the hospital on july the police have arrested one of the accused who is a juvenile while the other is on the run,Generated summary confidence: 1.0
actress koena mitra has filed a sexual harassment complaint after receiving lewd phone calls from a stranger the man reportedly kept calling her offered her money for a night out and verbally abused her from july i started getting calls from random numbers said koena she decided to approach the police when the calls didnt stop coming,Generated summary confidence: 1.0
as many as of or of ministers in the new bihar cabinet face criminal charges against them higher than the ministers in the previous grand alliance government further ministers are crorepatis a little less than in the previous government also a minister in the new cabinet earns an average crore,Generated summary confidence: 1.0
lakshmibai college will be the first college in the university of delhi to start a crche facility for the children of its teaching and nonteaching staff in august college principal said the teachers would be able to focus more on their work without worrying about the children the crche will consist of two rooms a pantry and a play area,Generated summary confidence: 1.0
an ongoing study has found that vehicles traveling on average crowded roads consumed nearly oneandahalf times more fuel per kilometre compared to good fuelefficient roads in delhi and its suburbs the motorists hence end up spending more said a member associated with the study the cumulative wastage of fuel would allegedly be an extra burden on indias oil imports bill,Generated summary confidence: 1.0
team india will play a record home matches this year from september to december the bcci announced on tuesday india will host australia new zealand and sri lanka during the season with the team playing a total of three tests odis and nine tis at home thiruvananthapuram and barsapara in assam may be added as test venues,Generated summary confidence: 1.0
google has clarified that it has no information on its records with respect to harshit sharmas candidacy after a news about the tech giant hiring the class chandigarh boy went viral it was reported that harshit would get lakh monthly as trainee graphic designer and lakh monthly after the training completes in a month,Generated summary confidence: 1.0
a female teacher in odisha was suspended on tuesday for allegedly getting a massage by a schoolgirl on school premises the teacher bharati meher said the incident took place around two years ago when she told a class eight student she had a headache and the latter offered to massage her head a video of the incident went viral online,Generated summary confidence: 1.0
passengers were stranded on greek island zakynthos for days after their easyjet plane developed technical difficulties on sunday and a replacement plane couldnt fly in due to mating turtles a flyer said there was no easyjet representative and passengers were forced to wait through hours of nothingness the airport has a night curfew to protect vulnerable loggerhead turtles breeding nearby,Generated summary confidence: 1.0
a picture of sushant singh rajput in a spacesuit at the national aeronautics and space administration nasa has been shared on twitter by producer viki rajani the actor has started undergoing training for his role as an astronaut in the upcoming film chanda mama door ke directed by sanjay puran singh chauhan the film will release on january,Generated summary confidence: 1.0
a sri lankan national was arrested for allegedly using a fake ticket to enter a terminal at the delhi airport on monday officials said cisf personnel had found the accused identified as nuwan u fernando roaming suspiciously inside the terminaliii building fernando told officials he had used a cancelled ticket to enter the airport terminal to see off his mother,Generated summary confidence: 1.0
gurugram police on saturday midnight rescued twenty people who were trapped in a mall lift for nearly minutes police said that two out of six women fell unconscious in the lift due to lack of oxygen some trapped people had reportedly contacted the elevator control room but the police were called when the staff couldnt fix the technical glitch,Generated summary confidence: 1.0
passengers and cabin crew got into an argument on tuesday after a delhibengaluru spicejet flight was repeatedly delayed passengers including children reportedly sat inside the aircraft for hours while no reason was given for the delay the flight was scheduled to depart at pm while passengers were reportedly accommodated on a different aircraft that departed at am,Generated summary confidence: 1.0
a yearold man from jammu and kashmir accused of rape committed suicide after the panchayat directed him to drink urine of the victim police said he also recorded an audio clip before killing himself wherein he claimed of never raping the girl the panchayats initial direction was to compensate the girls family with money which the man refused police added,Generated summary confidence: 1.0
maharashtra chief minister devendra fadnavis on tuesday said that the newly adopted online assessment system delayed the declaration of mumbai university results he added that the government will implement technological changes systematically and in phases to avoid similar problems in the future notably lakh out of the lakh answer sheets have been evaluated so far,Generated summary confidence: 1.0
shops at the domestic terminal of delhi airport have been relocated to provide additional space for seamless passenger movement mos for civil aviation jayant sinha said on tuesday this comes after a draft report by the public accounts committee said lesser space for passengers due to shops and restaurants could hamper passenger movement during a mishap,Generated summary confidence: 1.0
the us air force is negotiating with boeing to purchase two jetliners once built for russian airline transaero which went bankrupt before the planes were delivered the jetliners will be used as the new air force one and its backup air force one is the aircraft that carries the president of the united states,Generated summary confidence: 1.0
the allahabad high court on tuesday said it would hear fresh appeals filed by rajesh and nupur talwar challenging their conviction in the murder of their daughter aarushi and domestic help hemraj the court said it would hear the matter again due to contradictions in some submissions made by the cbi and fixed a hearing for august,Generated summary confidence: 1.0
as many as people died while travelling in mumbais local trains on sunday according to railway data almost people have been killed while travelling in trains in the past six months it added of the lost their lives by falling off the train were killed while crossing railway tracks and people died of electric shock,Generated summary confidence: 1.0
the gujarat congress mlas staying in a bengaluru resort are not allowed to go out and mlas from karnataka have been put in charge of the discipline the party has planned seminars and programmes for their entertainment inside the resort these include a lecture on the corruption charges against upa and congress achievements in years transparency and accountability,Generated summary confidence: 1.0
