actual_summary,generated_summary
the north delhi municipal corporation has said that the ring road and aurobindo marg near aiims and safdarjung hospitals will be declared a nohawker zone the move is aimed at streamlining traffic movement outside the hospitals so that patients doctors and ambulances coming to the medical institutes get easier access and other commuters do not face any hassle,dozens of street vendors will have to take their wares elsewhere as authorities in delhi are gearing up to clear the perennial congestion near the neighbouring hospitals aiims and safdarjungthe area will be turned into a no hawker zone as the encroachers cripple traffic movement and also get in the way of emergency vehicleslieutenant governor anil baijal has directed the new delhi municipal council ndmc chairman to take control of the ring road and aurobindo marg stretches from the public works department pwdthe move by the lg follows repeated complaints from safdarjung hospital authorities that doctors and patients get delayed in reaching the institute on time as they get stuck in traffic outsidedr ak rai director of safdarjung hospital told mail today i have been getting complaints from patients relatives doctors and other hospital staff on being late in reaching the hospital when its the need of the hour every day it is the same issue and one gets stuck in traffic for nearly minutesa meeting was held on monday with the safdarjung director and naresh kumar the civic council chiefthe ndmc chairman formed a committee including officials and experts from the council delhi traffic police and municipal corporation of delhi mcd these two road stretches ring road and aurobindo marg would be now declared as nohawker zone strictly dr rai informedthe emergency wards of both the hospitals are crowded with critically ill and trauma patients every day and ambulances coming from the ring road side always get stuck because it is highly congested during peak hours said a doctorfor us the main issue is to improve the traffic movement naresh kumar told mail today we are looking for temporary medium and longterm solutions delhi traffic police will manage the traffic movement at the bus and autorickshaw stands moreover most of the space on the road is occupied by private cabs at the time of monsoon there should be no traffic jam at ring road and aurobindo marg all unauthorised hawkers will be removed from the entire zone kumar addedheavy rains cause massive waterlogging at the entire stretch every year hordes of street vendors and hawkers are running their business illegally in the area and blocking the way said kumarour main focus is to improve the road infrastructure from now onwards aurobindo marg is under the jurisdiction of ndmc he iteratedthe safdarjung hospital director too pointed out that a rapid rise in the number of illegal vendors has created a bottleneck outside the hospitalit is advisable to shift the bus stop on ring road side and shops in the subway of the ring road and aurobindo marg proper pedestrian path should be made said dr raiechoing similar views dr dk sharma medical superintendent of aiims underscored the importance of streamlining traffic movement in such a manner that patients and doctors coming to the hospital get a smooth passage and pedestrians and other commuters too do not face hasslesalso read
over farmers from greater noida and adjoining areas protested in dadri seeking immediate release of farmers arrested on friday for stopping a passenger train and blocking movement on the delhihowrah railway track for an hour the arrested farmers had been demanding more compensation for land being acquired by the government for construction of the eastern peripheral expressway,over farmers including women took to the streets in dadri on tuesday morning demanding the immediate release of farmers who were arrested on friday for stopping a passenger train and blocking movement on the delhihowrah railway track for nearly an hour the farmers were staging a protest demanding a hiked compensation for the land being acquired by the government for the construction of the eastern peripheral expresswaythe farmers of bil akbarpur village marched to dadri tehsil and asked the administration for an unconditional release of the farmersalso the farmers have decided to presently accept the compensation of rs per square metre offered by the district administration for acquiring their land however they said that they will challenge the acquisition in the court for enhanced compensation as their counterparts in ghaziabad have received compensation up to rs per square metrethe farmers held a meeting with the district magistrate of gautam budh nagar bn singh on monday on the issue but could not arrive at a consensusteja gurjar a farmer leader said the administration has agreed to release the arrested farmers but has asked us not to obstruct work on eastern peripheral expresswaythe district magistrate said i have met the farmers and have agreed to release the arrested men on the condition that they provide an affidavit that they will not indulge in antisocial activities such as blocking rail routes or obstructing construction work at the expressway site the compensation will be awarded as per the government norms and courts orders said singhfarmers of villages in greater noida and adjoining areas had joined hands in protest on friday demanding enhanced compensation and said they had decided not to give their agricultural land for the compensation amount proposed by the governmentin the compensation rate was decided at rs per square metre which was enhanced to rs per square metre in additionally the district magistrate has also promised to give rs lakh to each farmer family
investigators have released pictures showing how close an air canada flight came to crashing onto four planes at a us airport last month its pilots mistakenly descended towards a taxiway where four planes were parked instead of the runway before aborting the landing investigators said the incident came within a few feet of becoming one of the worst aviation disasters,newly released data and photos show how shockingly low an air canada jet was when it pulled up to avoid crashing into planes waiting on a san francisco international airport taxiway last month the air canada pilots mistook the taxiway for the runway next to it and flew their jet to just ft m above ground before pulling up to attempt another landing according to national transportation safety board information released on wednesdaythats barely taller than the four planes that were on the taxiway when the incident occurred late at night on july pilots in a united plane alerted air traffic controllers about the offcourse jet while the crew of a philippine airlines jet behind it switched on their planes landing lights in an apparent lastditch danger signal to air canada ntsb investigators said they have not determined probable cause for the incident that came within a few feet of becoming one of the worst disasters in aviation historyit was close much too close said john cox a safety consultant and retired airline pilotthe investigators said that as the air canada jet approached the taxiway just before midnight after a flight from toronto it was so far off course that it did not appear on a radar system used to prevent runway collisionsthose systems were not designed to spot planes that are lined up to land on a taxiway a rare occurrence especially for airline pilots but the federal aviation administration is working on modifications so they can agency spokesman ian gregor saidboth pilots of the air canada airbus a jet were very experienced the captain who was flying the plane had more than hours of flying time and the copilot had about hoursthe pilots told investigators that they did not recall seeing aircraft on taxiway but that something did not look right to them the ntsb saidinvestigators could not hear what the air canada captain and copilot said to each other during the aborted landing because their conversation was recorded over when the plane made other flights starting with a san franciscotomontreal trip the next morning recorders are required to capture only the last two hours of a planes flying timepeter fitzpatrick a spokesman for air canada declined to comment citing the investigation
two sunbathers a yearold man and an eightyearold girl were killed on wednesday when a light plane struck them while making an emergency landing at a beach in portugal the others had run into the sea to save themselves the two occupants of the plane which appeared to be in difficulty and had a partly broken left wing were unhurt,two people were killed when a light plane made an emergency landing on a beach near lisbon portuguese authorities have saidthe two sunbathers a yearold man and an eightyearold girl died while others ran into the sea when the plane came down on wednesdayhundreds of sunbathers were on the popular so joo da caparica beach miles km to the south of lisbon at the time officials said they were not aware of any other injuriesa plane with two people on board made an emergency landing on so joo da caparica beach striking two sunbathers and causing their deaths portugals national maritime authority said in a statement it happened very fast there was no chance to prepare to run enrique coelho who was playing with his son at the beach and saw the plane crash told local mediathe victims were hit by the plane the commander of the port of lisbon jose isabel confirmedthe two occupants of the plane were unhurt and were being questioned by officers from portugals national maritime police the small aircraft a cessna appeared to be in difficulty and wobbled as it skimmed low over the sunbathers scattering them and spreading panic on the beach witnesses saidthe plane appeared to have a partly broken left wing which hung lower than the right wing according to portuguese tv pictures local reports said the aircraft was registered to a flying school in torres vedrasthe portuguese newspaper dirio de notcias reported that the aerocondor aviation school in cascais had confirmed the aircraft a cessna csava was on a training flight with one student and one senior instructor who had high experience and thousands of hours of flying timethe dead girl was with her parents who were unhurt witnesses told local media the plane passed over the dead mans legs as he sunbathed on a towel they saidone witness rita rogado told the pblico newspaper that the plane crashed right by the sea dragging her along for a few metres in the sand some sunbathers said the plane appeared to be gliding as they heard no engine noise this article was amended on august an earlier version said so joo da caparica beach was miles south of lisbon this has been corrected to miles
the saudiled coalition in yemen is blocking deliveries of jet fuel to un planes bringing humanitarian aid to the rebelheld capital sanaa un officials said aid efforts were also hampered by delays and refusals of visas by the yemeni government officials added the saudiled coalition has been involved in yemens civil war backing the yemeni government against the houthi rebels,the saudiled coalition fighting in yemen is obstructing deliveries of jet fuel to un planes bringing desperatelyneeded humanitarian aid to the rebelheld capital sanaa a un official said tuesdayauke lootsma the country director of the un development program also reported an outbreak of meningitis in yemen compounding the cholera epidemic and the risk of famine in the worlds worst humanitarian crisisthe united nations operates two humanitarian flights into sanaa from amman and djibouti but there is no jet fuel available in the yemeni capital for the plane to make the return tripwe have difficulties obtaining permission from the coalition and from the government of yemen to transport this jet fuel to sanaa to facilitate these flights lootsma the country director for the un development program told reporters by videolink from sanaaasked why the jet fuel deliveries were blocked lootsma said its a good question i dont have an answerthe fuel must be delivered to sanaa from the port of aden which is controlled by the saudibacked yemeni governmentthe saudiled coalition has repeatedly been accused of blocking aid to yemen one of the arab worlds poorest countries which has been brought to its knees since the military campaign began in march yemens health system has collapsed during the war pitting coalition forces backing the internationally recognized yemeni government against iranbacked shiite huthi rebelsdescribing the situation as very bleak the un official said there were several new cases of meningitis detected in yemen but he could not provide detailsaid efforts are also hampered by delays and refusals of visas by the yemeni government and by the rebels in control of sanaa he addedlootsma said he saw no end in sight for the war that has left thousands dead seven million people at risk of famine and more than ill from cholera
the us air force on wednesday successfully launched an unarmed intercontinental ballistic missile from california the fourth such test this year the test will show the readiness and effectiveness of the weapon system officials said the launch comes amid concerns over north korea which recently tested two intercontinental ballistic missiles which it claims has the range to reach the us,the us air force successfully launched an unarmed intercontinental ballistic missile from california the fourth such test this yearthe th space wing says the minuteman missile launched at am wednesday from vandenberg air force base about miles kilometers northwest of los angelesan air force statement said the test would show the effectiveness readiness and accuracy of the weapon systemminuteman missiles are regularly tested with launches from vandenberg that send unarmed reentry vehicles miles kilometers across the pacific to a target area at kwajalein atollhowever the latest us launches come amid tensions with north korea as that nation develops its own icbmsflight data on north koreas most recent test conducted friday showed that a broad part of the mainland united states including los angeles and chicago is now in range of pyongyangs weapons according to analystsin response the us air force flew two b bombers over the korean peninsula on sunday in a show of force the us also said it conducted a successful test of a missile defense system located in alaskaprevious minuteman icbm launches this year were conducted in february april and may that month the air force also conducted a test of a missile interceptor launched from vandenberg the interceptor destroyed a mock warhead over the pacific
the remains of a german hiker who disappeared while climbing in the swiss alps years ago have been found embedded in a glacier police officials said the remains were found by two people climbing the lagginhorn mountain they added recently bodies of a swiss couple who went missing years ago were found perfectly preserved in the alps,the remains of a german hiker who disappeared while climbing in the swiss alps years ago has been found embedded in a glacier police said on wednesday the find was made on july by two people climbing the lagginhorn mountain in southern switzerland police said in a statement a few hundred metres before reaching the peak the hikers spotted a hand and two shoes area police said extracting the remains that day was impossible because of poor weather but rescue workers arrived by helicopter the following day removed the remains from the ice and brought them to a hospital in the capital bern for identification test have confirmed the climber was a german national born in who disappeared on august the discovery came just two days after a swiss couple who disappeared while walking in the alps in were found in a receding glacier
veteran actor dilip kumar has been admitted to lilavati hospital in mumbai following kidney complications and dehydration the doctors treating the yearold actor have said that he is stable and currently recuperating in the general ward while adding there is no cause for concern the veteran actor had also been hospitalised twice last year due to medical reasons,yesteryear superstar dilip kumar was rushed to lilavati hospital on wednesday owing to kidney complications and dehydrationdoctors said he is stable and currently recuperating in the general ward there is no cause of concernthe major reason of his admission was dehydration which simultaneously impacts other organs as well doctors at the hospital saidthe yearold bollywood actor has been facing medical complications in recent years last year he was hospitalised in april due to fever and nausea and in december to treat a swelling in his right legkumar has acted in over films in his career spanning over six decades and is known for his iconic roles in movies like devdas naya daur mughaleazam ganga jamuna kranti and karma he is also honored with padma bhushan in dadasaheb phalke award in and indias second highest civilian award padma vibhushan in the government of pakistan has honoured him with its highest civilian honour the nishaneimtiaz in follow htshowbiz for more
the mangrove society of india has listed mumbais two mangrove wetlands airoli and vikhroli among twelve unique mangrove forests in india the twelve locations were selected to help conserve different mangrove species and establish them as international tourism destinations officials said mangrove forests can sequester carbon times more than tropical forests they added,the mangrove society of india msi has put two of mumbai regions mangroves airoli and vikhroli wetlands among unique mangrove forests in the countrymangrove forests grow in creeks estuaries bays and lagoons and in intertidal areas area between the high tide and the low tide their ecosystem is believed to have evolved around million years back in tropical and subtropical regions and india has sq km of the worlds mangrove cover the unique mangroves located along indias km coastline are in gujarat maharashtra goa karnataka kerala odisha tamil nadu andhra pradesh and andaman and nicobar islands the worlds largest mangrove forests in sunderbans west bengal are also featured in the list the list was released by the msi and the goa state biodiversity board at the national mangrove conference in dona paula goa last week maharashtra is the only state to have a dedicated cell protecting its mangrove covermangroves are under threat from developmental projects and we are failing to understand the value of safeguarding the coastline from disasters and their economic value when it comes to tourism we do not have the concept of preservation in india said arvind untawale secretary msi the idea behind selecting these locations is to enhance conservation and protection of different mangrove species the biodiversity and establish them as international tourism destinationshe added that tigers in sunderbans saltwater crocodiles in odisha and birds fish crabs and the unique flora present in this ecosystem are not getting enough attention from the centre there is great potential for adventure research information conservation and management aspects which the tourism sector needs to focus upon said untawalemangroves invikhroli ht file what most people are unaware of is that india is home to a maximum number of flora and fauna species in the world said dr k kathiresan former dean and director annamalai university and from the centre of advanced study in marine biology he added that of the total species living in indias mangroves are floral species accounting for of the biodiversity and the rest are faunal species mangrove forests can sequester carbon times more than tropical forests and carbon storage is four times more than tropical temperate or boreal forests coniferous forests said dr kathiresanexperts said the tourism potential of mangroves in india unlike many other countries in the world is underexplored we have to develop such spots for people to realise its importance tourism spots will not only help boost revenue but even their protection said n vasudevan additional principal chief conservator of forest maharashtra state mangrove cell saving the natural coast guards while india has of the worlds mangrove cover environmentalists believe they are under threat from developmental projects here are the unique mangrove forest locations selected for better conservationgulf of kutch gujaratestablished in and the gulf of kutch marine national park sq km and marine sanctuary sq km are mangrove forests spread across islands with rich marine and mangrove biodiversity they are accessible from jamnagar by boats that travel km to reach these areas vikhroli mangroves mumbaiit is one of the largest ha private mangrove forests in the country more than mangrove species butterfly species bird species crab species prawn species fish species and mammals like jackals wild boards mongoose otters and leopards can be spotted at the mangrove ecosystemmangrove and marine biodiversity centre airoli navi mumbaithe centre a pet project of the maharashtra state mangrove cell was completed and opened for public earlier this year it is surrounded by a flamingo sanctuary that is spread over ha which includes ha of mangroves and ha of land adjacent to a water body to safeguard more than flamingos visiting every yearachra maharashtra the mangroves near the fishing village of achra are considered sacred htfile located near the fishing village of achra almost km away from kankavli on the mumbaigoa highway this is the most dense mangrove spot in the konkan region here the mangroves are considered sacred as the entire area is owned by rameshwar temple trust dr salim ali mangrove sanctuary goaestablished in a hectare mangrove patch at chodan located very close to panjim is home to mangrove species more than birds and large intertidal fauna the area has boat facilities walkways and observation towers for a closer look at the salttolerant plantskali nadi karnataka with the western ghats in the background the lush green mangrove cover along the devbagh creek of the kali nadi estuary near karwar karnataka is considered the most sacred mangrove forests of the state kannur kerala situated along the famous kerala backwaters and not very far from kochi large portions ha of the kannur mangrove forest were recently declared as reserved forests highest protection status after a significant mangrove cover was lost owing to developmental projects however several parts were restored by the forest department with manmade mangrove patches that cater to both marine and intertidal biodiversitypichavaram and muthupet tamil nadutwo mangrove spots along the tamil nadu coastline pichavaran near chidambaram and muthupet near pulicat lake are fed with vellary estuary waters and are rich in mangrove biodiversity the forests are famous for natural genetic cross breeding of the rhizophora mangrove species coringa and krishna wildlife sanctuaries andhra pradeshthe coringa wildlife sanctuary situated on the mouth of the godavari estuarine delta has a mangrove expanse spread across sq km it was established in and is accessible by road and by boats from vishakhapatnam established in the krishna wildlife sanctuary in guntur is spread across sq km and located at the mouth of krishna estuarythe mahanadi estuarine in odisha htfile bhitarkanika wildlife sanctuary and kendrapada mangroves odishathe bhitarkanika wildlife sanctuary along the mahanadi estuarine is known to have the highest mangrove biodiversity in asia and is famous for the estuarine crocodiles that are feetlong spread across sq km the sanctuary was established in the kendrapada mangroves have mangrove area of sq kmsunderbans biosphere reserve west bengalspread across a massive ha land along the ganges delta the sunderbans are the largest mangrove forests in the world between bangladesh and west bengal it was declared a unesco world heritage site in the swampy mangroves are also home to chitals crocodiles monitor lizards and several birdsandaman and nicobar islandstourists around teh mangroves in andaman and nicobar islands htfile established between and two national parks mahatma gandhi marine national park wandoor south andaman sq km mangrove cover and rani jhansi marine national park sq km mangroves have several islands with lush green mangrove cover and corals both locations are almost km away from port blair
jammu and kashmir police have approached the pakistan high commission asking them to claim the body of lashkaretaiba commander abu dujana who was killed by security forces on tuesday notably this is the first time the authorities have approached the high commission asking them to claim the body of any pakistani national killed in an antimilitancy operation in the state,jammu and kashmir police approached the pakistan high commission in delhi and asked them to claim the body of lashkaretaiba let divisional commander abu dujana killed by the security forces on tuesdaymunir khan inspector general of police igp kashmir told reporters on tuesday that pakistan high commission has been approached to claim the body of dujana who belonged to gilgitbaltistan area in pakistanadministered part of kashmirthis is for the first time the authorities have approached pakistan high commission asking them to claim the body of any pakistani national killed in antimilitancy operations in jammu and kashmirif they dont claim his body we will give him a proper burial the igp said adding that authorities wished dujanas parents should see their son before burial and for that reason the commission had been approachedpolice refused to hand over dujanas body to the civilians for burial the senior police officer said there was no reason to hand over the body of somebody to locals who did not belong to the kashmir valleymeanwhile hundreds of mourners attended the burial of the other let militant arif lalihaari killed on tuesday with abu dujana in hakripora villagearif was buried in his native lalihaar village of pulwama districton tuesday evening
abu ismail mastermind of the amarnath yatra attack will reportedly replace abu dujana as the kashmir division chief of lashkaretaiba let dujana was killed by the security forces on tuesday after a sevenhour gunfight in south kashmirs pulwama district notably eight pilgrims were killed and were injured in the amarnath yatra attack last month,slain lashkaretaiba let commander abu dujana will be replaced by abu ismail ismail will be the new kashmir division chief of let after dujana was killed by the security forces on tuesday after a sevenhour gunfight in south kashmirs pulwama district let commander abu ismail a pakistani national was the mastermind of the deadly attack on amarnath yatra in which seven pilgrims including six women were killed and were injured proactive operations have been launched mainly in south kashmir to track down ismail as investigations including communication intercepts have pointed out to his involvement in the attack on amarnath pilgrimsattack in anantnag appears to be a reprisal for killing of several lashkar militants including bashir lashkari in an encounter with security forces earlier this month who was abu dujana with inputs from jitendra bahadur singh also readabu dujana encounter jilted lover turned informer led security forces to let commander top lashkaretaiba terrorist abu dujana killed in pulwama encounter
explaining his frequent visits to golf clubs us president donald trump told his new jersey golf club members that he spends so much time away from washington dc because the white house is a real dump according to reports notably the white house is the most expensive house in the us and is worth almost million,us president donald trump has called the white house a real dump and said that he preferred staying at his own properties rather than at the executive mansion a media report saidthe white house did not immediately respond to a request for comment about the account which appeared on the website golfcom the hotelierturnedpotus reportedly told members of his trump national golf course in bedminster new jersey that he preferred staying at his own properties rather than at pennsylvania ave nw because the executive mansion is a real dump the washington post reported citing the article on golfcom as sayingtrump in a may interview with time magazine had praised the white house for its beautiful kitchen amazing phone system and incredible historical furniture people have no idea the beauty of the white house the real beauty of the white house trump earlier saidmeanwhile taking aim at the us president former first daughter chelsea clinton who spent most of her teen years as a white house resident spoke out in support of the white house staff thanking the ushers butlers maids chefs florists etc for all the hard work they dorepresentative dina titus a democrat also urged trump to take his family and move out of the white house if he was unhappy with conditionstrump spent a good deal of time away from the white house including of his first weekends according to cnn count mostly at his luxury maralago resort in palm beach florida
a selfstyled email prankster known as sinonreborn on twitter has fooled recentlyfired white house communications director anthony scaramucci thrice the prankster fooled scaramucci by posing as recentlyfired chief of staff reince priebus as a russian envoy and finally as one of his friends the prankster said he targeted scaramucci because he had used mental health issues as a put down,a suspected british prankster appears to have conned white house officials including anthony scaramucci into replying to him after pretending in email correspondence to be several different members of the trump teamthe man who goes by the twitter handle sinonreborn posed as jared kushner well enough to convince homeland security adviser tom bossert to reply to him according to cnn bossert included his personal email address in the exchangenamed director of communications after having been denied a white house role earlier the new york financier and republican fundraiser promptly threatened to fire everyone in his team over leaks he also staged a combative and contradictory briefing room debut and talkshow tour sought to bat away questions about suspiciously liberal pronouncements in his past and support for trumps republican enemies deleted tweets warred openly with the former chief of staff reince priebus and seemingly forced him out compared the struggle to take healthcare away from millions of americans to lincolns battle against slavery poured obscene invective about leakers priebus and steve bannon down the phone to a new yorker reporter missed the birth of his son saw his wife file for divorce and was asked to resigntrumps first national security adviser one of four generals the president has employed resigned after it was revealed he misled vicepresident mike pence over his contacts with russians during the election campaign it was later reported that yates had warned the white house flynn was vulnerable to russian blackmailthe most shocking firing of them all trump sacked his fbi director by messenger rather than in person as congressional and justice department investigations into links between trump aides and russia gathered pace lest anyone retain any doubt about why trump pressed the big red button he told nbc in a primetime interview the firing was tied to this russia thing the reverberations will be felt for some time yetthe longsuffering but loyal surrogate for the president handed in his resignationin response to scaramuccis appointment a republican insider and priebus ally he never settled into the press secretary role after an infamous debut in which he angrily insisted trumps fantastic version of crowd sizes at the inauguration were true achieving by way of melissa mccarthys lethal saturday night live impression a somewhat dubious celebrity his days at the white house were long rumoured to be numbered his departure on a point of principle having seemingly been justified only days later he may now claim a sort of hollow vindicationthe former republican national committee chair stayed loyal at least in public to trump through friday when he was told his time was up he stayed loyal after handing in his resignation too rhapsodising about the president and his mission in interviews with cnn and of course fox news but it seemed priebuss card had alway been marked less over his initial blocking of scaramucci which enraged the mooch or by his closeness to the house speaker paul ryan than by his private advice to trump to quit the presidential race after october when the infamous access hollywood gropegate tape was published the washington post reported that priebus was thus never considered a member of the oct th coalition a name for the inner cabal of trumpites who have never wavered however low their bosss reputation has sunkthe man also fooled scaramucci the white house communications director who was fired on monday by pretending to be reince priebus the former trump administration chief of staff with whom he was believed to be in open warfarein a series of emails the man posing as priebus baited scaramucci accusing him of being breathtakingly hypocritical and saying at no stage have you acted in a way that is remotely classyscaramucci responded you know what you did we all do even today but rest assured we were prepared a man would apologizethe heated exchange continued with the prankster writing i cant believe you are questioning my ethics the so called mooch who cant even manage his first week in the white house without leaving upset in his wake i have nothing to apologize forscaramucci replied read shakespeare particularly othello you are right there my family is fine by the way and will thrive i know what you did no more replies from me the white house has confirmed it is looking into the matter we take all cyber related issues very seriously and are looking into these incidents further press secretary sarah huckabee sanders told cnnreince me giving scaramucci something to think about he never replied haha pictwittercomhutjacmogran excerpt of what i emailed to scaramucci whilst playing the part of jon huntsman jr apparently this didnt seem out of the ordinary pictwittercominhjikcdthe man who described himself as a lazy anarchist on his twitter profile told cnn that his actions were meant to be humorous not maliciousim not trying to get the keys to the vault or anything like thathe has previously convinced scaramucci that he was the ambassador to russiadesignate jon hunstman and tricked hunstman himself into believing he was the presidents son eric trump he also fleetingly convinced eric trump he was his brother donald jr
a ukbased doctor manish shah has been charged with sexual offences the metropolitan police said on wednesday shah has been accused of counts of assault by penetration and allegations of sexual assault police officials added he has also been charged with one count of sexual assault on a child under,a gp who practised in east london has been charged with sexual offences manish shah of brunel close in romford is accused of counts of assault by penetration and allegations of sexual assault the metropolitan police said the yearold is also charged with one count of sexual assault on a child under the offences were alleged to have occurred at a gp practice between june and july and relate to victimsthe charges announced on wednesday follow a longrunning investigation into shah he has been bailed several times having first been arrested in he is due to appear at barkingside magistrates court on thursday august shah is registered as a doctor working with the national health service the police investigation began over four years ago after claims of sexual assault were made to detectives and uncovered a series of allegations concerning alleged sexual offencesspecialist detectives from scotland yards sexual abuse command have been involved in investigating the claims the decision to bring a series of criminal charges against shah was authorised by the crown prosecution servicethe nhs has set up a dedicated number for any individuals who may have concerns or questions on
us president donald trumps campaign could not have colluded with russia because the team was too dysfunctional and disorganised to coordinate with a foreign government the presidents soninlaw and senior adviser jared kushner has claimed notably kushner had acknowledged four meetings with russians during and after trumps presidential bid and insisted that he had nothing to hide,president donald trumps soninlaw says the trump campaign couldnt have colluded with russia because the team was too dysfunctional and disorganised to coordinate with a foreign governmentjared kushner a senior adviser to the president made the comment monday during a closeddoor session with congressional internsa democratic congressional aide says kushner was responding to a question about special counsel robert muellers investigation into whether the trump campaign colluded with moscowforeignpolicycom first reported kushners remarks the aide was knowledgeable of the meeting and confirmed the accuracy of the commentslast week kushner met privately at the capitol with members of the senate and house intelligence committeeshe acknowledged four meetings with russians during and after trumps victorious white house bid and insisted that he had nothing to hide
a woman lawmaker of pakistan tehreekeinsaf pti party ayesha gulalai has accused party leader imran khan of harassing women leaders in the party and sending them obscene text messages my integrity matters to me the most and i cannot compromise when it comes to my honour and dignity gulalai said announcing her resignation from the party,a woman parliamentarian of imran khans pakistan tehreekeinsaf pti has stirred up a major row by accusing the cricketerturnedpolitician of sending her obscene text messages and harassing women leaders of the partyayesha gulalai elected to the national assembly in from a reserved seat for women in the tribal areas bordering afghanistan also announced her decision to quit the pti because she could not compromise on her honour and dignityaddressing a news conference in islamabad on tuesday gulalai said the honour of women in the pti is not safe because of yearold khan whom she called a fake pathan gulalai who hails from the conservative south waziristan tribal region and is the sister of leading squash player maria toorpakai said khan is a characterless person who considers himself an angel but his conduct is highly indecent there was no response to the allegations from khan though pti spokesman fawad chaudhry dismissed gulalais allegations and claimed she had sold her soul for moneythe lawmaker said she had received numerous text messages from khan and the first one was sent from his blackberry in october she declined to read out the messages but asked journalists to contact the telecom authority in this context she urged the supreme court to take notice of the matter for the sake of the honour of women members of the pti as there is speculation that khan might one day become the prime minister gulalai said her decision to quit the pti had nothing to do with a case regarding khans assets that is being heard by the supreme court the criterion for awarding party tickets is entirely different in the pti she saidshe said she had the courage to come out against khan and his clan as she is a brave pathan and honour was more important to her the lawmaker went on to say that khan was more impressed by western culture and wanted to replicate it in pakistantheir change is confined to social media while workers like me work on the ground whom they call inferior workers when i used to attend meetings imran khan gave tips on how to ridicule rivals and target them she saidgulalai also accused the pti government in khyberpakhtunkhwa province of corruption and said chief minister pervez khattak was acting like a mafia bossshe rejected reports that she was joining the pmln party of former premier nawaz sharif but praised him for respecting women
harry potter author jk rowling has apologised for a series of tweets in which she falsely accused us president donald trump of refusing to shake the hand of a child in a wheelchair during an event last week rowling was slammed for not removing the tweets from her social media account after her comments were proved to be incorrect,london aug pti renowned harry potter author j k rowling has apologised for wrongly accusing us president donald trump of refusing to shake the hand of a yearold disabled child during an event the yearold british novelist best known as the author of the harry potter fantasy series said yesterday that she deleted her july tweets after she was informed that they were not a full or accurate representation of what had happened at last mondays health care event at the white house rowling came under fire for a series of nowdeleted tweets in which she slammed trump for seeming to ignore montgomery weers outstretched hand how stunning and how horrible that trump cannot bring himself to shake the hand of a small boy who only wanted to touch the president the author had said but marjorie kelly weer mother of montgomery said rowlings interpretation of the clip was wrong re my tweets about the small boy in a wheelchair whose proffered hand the president appeared to ignore in press footage multiple sources have informed me that that was not a full or accurate representation of their interaction rowling tweeted i very clearly projected my own sensitivities around the issue of disabled people being overlooked or ignored onto the images i saw and if that caused any distress to that boy or his family i apologise unreservedly she wrote trump is said to have shaken the boys hand as the president entered the room the bbc reported if someone can please get a message to jk rowling trump didnt snub my son monty wasnt even trying to shake his hand kelly wrote on facebook
substantial presence of pm reportedly the most dangerous particulate matter has been found in areas around delhis lodhi road a study by system of air quality and weather forecasting and research said its presence in the central delhi area may be attributed to the huge flow of vehicles since the particulate matter is a product of vehicular pollution reports said,a recent study has found a substantial presence in the ultrafine particulate matter pm a dangerous pollutant in central delhithe pm particle is times finer than the thickness of a human hair goes directly into the bloodstream and is potentially more dangerous than the more well known pm and pm pollutants and no one knows how much of it is in the air we breathethe lodhi road monitoring station of the system of air quality and weather forecasting and research safar under the ministry of earth sciences has recorded the average volume of pm during summer winter and the monsoon at about and micrograms per cubic metres respectively the data from the year is collected in the only station that has the technology says gufran beig project director of safarthe safe standards of pm have not been defined yet in the absence of which its potentially harmful effects have not been documented globally too there might not be a standard but pm is considered the most dangerous among all particulate matter particularly because of its size it measures around micron or less in diameter and can enter deep into the lungs and bloodstreamaccording to a central pollution control board study small particulate matter can reach the alveolar region causing heart ailments these fine particles cover a large surface area absorb toxic compounds such as heavy metals and organic compounds with high carbon content the study saidthese particles spewed primarily from vehicles factories and construction sites are not dispersed and stay suspended in the airbut why is the air in central delhi flooded with these particulatespm is a major product of vehicular combustion roads in and around the lodhi road area like other parts of lutyens delhi see a huge flow of vehicles this might be the reason behind the prevalence of this finer particulate matter it also depends on where the station is located the dispersion capacity meteorological factors among others dr dipankar saha additional director and head of the air laboratory at the cpcb told hindustan times
